id;label;spain;andalucia;catalunya;castillaLaMancha;extremadura
202012;Semana 12 de 2020;185.72;187.62;187.5;185.0;182.5
202013;Semana 13 de 2020;184.45;186.95;187.5;185.9;182.5
202014;Semana 14 de 2020;184.45;186.95;187.5;184.9;182.5
202015;Semana 15 de 2020;184.06;185.97;187.5;183.0;182.5
202016;Semana 16 de 2020;184.12;186.17;187.5;184.0;182.5
202017;Semana 17 de 2020;182.53;185.54;187.5;183.5;182.5
202018;Semana 18 de 2020;179.78;184.09;185.0;184.5;182.5
202019;Semana 19 de 2020;179.32;183.82;182.5;185.5;182.5
202020;Semana 20 de 2020;176.39;182.13;180.0;185.9;182.25
202021;Semana 21 de 2020;174.92;180.93;180.0;184.2;175.0
202022;Semana 22 de 2020;169.36;169.95;180.0;183.0;175.0
202023;Semana 23 de 2020;170.46;171.82;180.0;183.5;175.0
202024;Semana 24 de 2020;171.51;171.95;180.0;184.0;175.0
202025;Semana 25 de 2020;172.85;172.87;180.0;185.0;175.0
202026;Semana 26 de 2020;173.56;173.77;180.0;184.0;175.0
202027;Semana 27 de 2020;174.23;174.53;180.0;180.0;175.0
202028;Semana 28 de 2020;174.57;174.53;180.0;179.0;175.0
202029;Semana 29 de 2020;177.5;175.91;180.0;180.0;175.0
202030;Semana 30 de 2020;178.65;176.52;180.0;180.0;175.0
202031;Semana 31 de 2020;178.97;176.62;180.0;179.0;175.0
202036;Semana 36 de 2020;181.19;182.12;187.5;178.0;175.0
202037;Semana 37 de 2020;184.01;185.41;187.5;181.0;175.0
202038;Semana 38 de 2020;186.7;188.13;187.5;183.0;185.0
202039;Semana 39 de 2020;188.62;189.5;187.5;185.0;185.0
202040;Semana 40 de 2020;191.79;191.41;192.5;190.0;185.0
202041;Semana 41 de 2020;193.99;193.33;192.5;194.0;187.5
202042;Semana 42 de 2020;196.82;194.87;210.0;198.0;188.5
202043;Semana 43 de 2020;201.98;198.81;232.5;206.5;192.5
202044;Semana 44 de 2020;203.45;203.0;232.5;205.5;210.0
202045;Semana 45 de 2020;206.0;204.39;232.5;202.0;210.0
202046;Semana 46 de 2020;200.93;201.06;227.5;201.0;202.5
202047;Semana 47 de 2020;200.87;200.67;222.5;201.0;200.0
202048;Semana 48 de 2020;199.8;200.3;222.5;201.0;195.0
202049;Semana 49 de 2020;199.74;200.04;222.5;202.5;201.25
202050;Semana 50 de 2020;200.09;200.43;222.5;202.32;201.25
202051;Semana 51 de 2020;200.61;201.08;222.5;202.32;201.25
202052;Semana 52 de 2020;200.25;201.18;217.5;201.5;201.25
202053;Semana 53 de 2020;200.61;202.16;217.5;201.5;201.25
202101;Semana 01 de 2021;203.1;203.81;217.5;202.0;203.75
202102;Semana 02 de 2021;207.95;208.06;217.5;209.0;207.5
202103;Semana 03 de 2021;220.58;220.03;225.0;222.0;217.75
202104;Semana 04 de 2021;226.9;226.18;227.5;230.0;217.5
202105;Semana 05 de 2021;224.41;223.2;227.5;235.0;230.0
202106;Semana 06 de 2021;234.83;233.06;232.5;241.0;230.85
202107;Semana 07 de 2021;238.66;238.36;235.5;243.0;235.85
