id;label;spain;andalucia;catalunya;castillaLaMancha;extremadura
202012;Semana 12 de 2020;188.32;215.67;225.0;214.0;225.0
202013;Semana 13 de 2020;187.41;212.47;225.0;213.75;225.0
202014;Semana 14 de 2020;187.72;213.31;225.0;215.0;225.0
202015;Semana 15 de 2020;185.67;207.2;225.0;213.5;225.0
202016;Semana 16 de 2020;185.35;207.7;225.0;212.25;225.0
202017;Semana 17 de 2020;184.49;207.74;225.0;214.75;220.0
202018;Semana 18 de 2020;181.89;206.19;220.0;213.5;217.0
202019;Semana 19 de 2020;180.85;206.49;220.0;212.0;216.0
202020;Semana 20 de 2020;179.33;206.6;220.0;214.5;219.0
202021;Semana 21 de 2020;178.63;206.16;220.0;212.6;227.0
202022;Semana 22 de 2020;174.95;202.02;217.5;211.6;206.0
202023;Semana 23 de 2020;175.49;203.65;217.5;207.5;222.0
202024;Semana 24 de 2020;176.2;200.42;217.5;210.5;218.0
202025;Semana 25 de 2020;177.13;200.18;217.5;211.6;225.0
202026;Semana 26 de 2020;177.87;200.05;217.5;209.0;225.0
202027;Semana 27 de 2020;178.43;200.56;217.5;203.5;205.0
202028;Semana 28 de 2020;177.21;195.53;217.5;211.5;205.0
202029;Semana 29 de 2020;177.86;194.64;217.5;209.0;213.0
202030;Semana 30 de 2020;178.98;196.07;217.5;209.0;222.0
202031;Semana 31 de 2020;179.28;197.69;217.5;203.0;227.0
202036;Semana 36 de 2020;183.19;207.2;226.0;203.5;223.0
202037;Semana 37 de 2020;186.08;210.16;226.0;205.0;223.0
202038;Semana 38 de 2020;187.67;211.76;226.0;206.5;210.0
202039;Semana 39 de 2020;190.58;215.24;226.0;211.0;225.0
202040;Semana 40 de 2020;194.27;218.04;228.5;215.0;215.0
202041;Semana 41 de 2020;197.14;219.97;228.5;220.75;219.0
202042;Semana 42 de 2020;199.7;221.66;261.0;224.0;219.5
202043;Semana 43 de 2020;205.04;227.56;261.0;226.5;237.0
202044;Semana 44 de 2020;206.46;229.04;261.0;229.25;241.5
202045;Semana 45 de 2020;209.38;230.96;261.0;234.5;253.5
202046;Semana 46 de 2020;207.57;236.16;275.0;237.75;247.0
202047;Semana 47 de 2020;208.38;240.43;265.0;242.25;246.5
202048;Semana 48 de 2020;207.88;243.87;255.0;242.25;249.0
202049;Semana 49 de 2020;208.78;248.29;255.0;250.25;243.5
202050;Semana 50 de 2020;210.41;253.57;255.0;254.5;250.0
202051;Semana 51 de 2020;209.58;252.22;255.0;252.75;250.0
